"Name","Link"
"Makhdoom Sahib Shrine","https://www.tripadvisor.com/Attraction_Review-g297623-d3705371-Reviews-Makhdoom_Sahib_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Harwan Gardens","https://www.tripadvisor.com/Attraction_Review-g297623-d15556027-Reviews-Harwan_Gardens-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Fotu La Pass","https://www.tripadvisor.com/Attraction_Review-g297623-d12833928-Reviews-Fotu_La_Pass-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Nilagrad River","https://www.tripadvisor.com/Attraction_Review-g297623-d3928311-Reviews-Nilagrad_River-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Dastgir Sahib Shrine","https://www.tripadvisor.com/Attraction_Review-g297623-d3171257-Reviews-Dastgir_Sahib_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Sri Pratap Singh Museum","https://www.tripadvisor.com/Attraction_Review-g297623-d3705740-Reviews-Sri_Pratap_Singh_Museum-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Zero Bridge","https://www.tripadvisor.com/Attraction_Review-g297623-d15107679-Reviews-Zero_Bridge-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Roza Bal Shrine","https://www.tripadvisor.com/Attraction_Review-g297623-d3704970-Reviews-Roza_Bal_Shrine-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Challi Point","https://www.tripadvisor.com/Attraction_Review-g297623-d6496327-Reviews-Challi_Point-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Badshah Tomb","https://www.tripadvisor.com/Attraction_Review-g297623-d4400962-Reviews-Badshah_Tomb-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Garden of Char Chinar","https://www.tripadvisor.com/Attraction_Review-g297623-d2649167-Reviews-Garden_of_Char_Chinar-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Foreshore Road","https://www.tripadvisor.com/Attraction_Review-g297623-d14931670-Reviews-Foreshore_Road-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Masjid Dastgeer Sahib","https://www.tripadvisor.com/Attraction_Review-g297623-d3913196-Reviews-Masjid_Dastgeer_Sahib-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Gulshan Books Kashmir","https://www.tripadvisor.com/Attraction_Review-g297623-d13857130-Reviews-Gulshan_Books_Kashmir-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Floating Atm","https://www.tripadvisor.com/Attraction_Review-g297623-d25020283-Reviews-Floating_Atm-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
"Rainawari","https://www.tripadvisor.com/Attraction_Review-g297623-d3705557-Reviews-Rainawari-Srinagar_Srinagar_District_Kashmir_Jammu_and_Kashmir.html"
